Date,Gen,Feb,Mar,Apr,Mag,Giu,Lug,Ago,Set,Ott,Nov,Dic
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,-0.0340502314092611,0.09683114482086716,0.06635853454793565,-0.07400701716559098,-0.005077276192499184,0.02535410549182068,0.010798241319024869,0.06625562852916864,0.0852566327694199,-0.017937272262682925,-0.07248427993671062,-0.007545296609037728
2002,0.015696378592795816,0.02098486111979301,-0.036080106667215006,0.06338465474468241,0.009122969376785079,0.07521434960317874,0.0822998845936383,-0.004869557741769398,0.11656114050838791,-0.08291439611915413,-0.05550057104349956,0.06222926619772035
2003,0.027797487730551747,0.017149829499765647,-0.008322836592988533,-0.07792734002637897,-0.049645711997825755,-0.08299904297227108,0.016093504013478796,0.017715355943955267,-0.012016271671429069,0.05350426070312376,0.007103216390662736,0.04951898497110535
2004,0.01712884705771484,0.012135045336106163,-0.01649420417864255,-0.016933314713063967,0.01201102803609549,-0.014583813802735145,0.03489223484716719,-0.0022847383199047075,-0.009320306218269937,-0.01391695210281774,-0.03786877690682804,-0.03461422362442331
2005,-0.025615767695306164,0.018726898056026578,-0.01930276092169015,0.03810663044748324,-0.02951224448901949,0.0001427243645059674,-0.035336532271868934,0.01128554750289936,-0.006924991121193518,0.017900033906343316,-0.03458121395472849,0.0009528030899301357
2006,-0.0470574752338377,0.0004530550834009432,0.011034703509450202,0.012082366269225497,-0.049628177416165487,-8.659275533523005e-05,-0.0050729894059884685,-0.02105105662019507,-0.024269399114309934,-0.030208932072937615,0.016332551131230166,0.012536866857911298
2007,0.0139611313073254,-0.022088337053376633,0.009930511784698505,0.04237984325324011,0.03203072385189627,-0.017976943869676333,-0.03250447118036487,0.012781539018930324,-0.03516829026279022,0.0035705593618134447,-0.07552084005897793,0.008665949670829851
2008,0.06311386420630857,0.03537973959244792,0.005977452826418597,-0.04645095190758514,-0.010617614807393823,0.08988355391782232,0.00990829663377425,-0.012116759351493239,0.09518076507694337,0.18563647388688267,0.07779835731330523,-0.007791146673498197
2009,0.08954987959881705,0.11645651319919031,-0.08195269356125523,-0.08977221824360004,-0.051720577155173905,-0.00019580809395326922,-0.07152194934301433,-0.04922773342361984,0.03510006736774643,-0.019959880197119702,0.055779076586737364,0.017614520350300027
2010,-0.037675123712194544,0.028114739741840457,0.05713281541639261,0.014651373006918173,-0.08553157288349092,0.10632186557661912,-0.06651579901085702,0.04861182288741862,-0.08392847418803388,-0.03619305175049088,-0.024864904309712027,0.06325648750899822
2011,0.02239296981241226,0.03145657676282474,-0.0010478617545840608,0.028096938770245015,-0.013592919455283622,-0.01842618591193297,-0.021708355856664092,-0.08958905602380045,0.0744671007197858,-0.10230659176938846,0.005071553722512612,-0.008496565407114371
2012,-0.04266004446780694,-0.03978734467204472,0.030851475632996124,-0.007525699544988995,-0.0646993081586246,-0.02410237374384191,-0.02117123047272295,0.019570609701871494,0.02394711879625469,-0.019987842358050453,0.0028426724604567783,-0.01997895801534178
2013,-0.055662126246207345,0.010999927126354538,0.035355294329704814,0.01792416583665236,0.020550202383511296,-0.015112928770280054,0.04827772805178769,-0.03179826803794559,0.029315591366424767,0.04362997111283403,0.027663289773235285,0.023289474482053197
2014,-0.03623140777601974,0.04221337507227577,0.006908248426944001,0.006181643365584467,0.020812196013357896,0.018878996713561053,-0.01519468763799161,0.03696364440798914,-0.015635436105289963,0.022936398829564032,0.02423747356330694,-0.004197384221126299
2015,-0.03153277926642532,0.05343887632562741,-0.01754919743396316,0.008484722544635516,0.010436729675336988,-0.02123555887175886,0.02404115678407832,0.06462473099312407,0.026798730963462993,-0.0797193795433983,-0.0005047417068052475,0.017685658390257392
2016,0.052067617305496625,0.004136905514992644,-0.06390499028682929,-0.0026957614511554547,-0.01520836681052396,-0.0761151420367365,0.03416170395963566,-0.0012199867803524733,-0.001235213701753262,-0.01961683704347301,0.03360354504443427,0.01803711129927904
2017,0.017726314621062517,0.03652300073827648,-0.00038927289213149733,0.009050132478198662,0.011509759110980514,0.004802226040503766,0.019164017547100825,0.0005462837796947539,0.01911903935235517,0.021945560031841994,0.027695541046634582,0.009783614574871438
2018,0.05465739835832845,-0.03972610759808425,-0.02725249736694011,0.0027150858118246708,0.02137819118306604,0.004830749386570477,0.03538795073752459,0.02981431452438233,0.0042850932863336385,-0.07192934595429698,0.00030863707427520454,0.09626521985789886
2019,-0.07574215198675605,-0.02929555336540242,-0.017765510890228813,-0.004281238801647062,-0.06804089408287378,0.0666583015630264,0.013042724833705124,-0.018257281743262438,0.017035250591071922,0.02022584215331761,0.03348026607137807,0.028188756298541968
